iter	Passed	Remaining
0	10	53362
1	21	52750
2	31	52793
3	41	51988
4	58	58855
5	68	56662
6	77	55626
7	87	54712
8	97	53944
9	107	53424
10	116	52723
11	125	52244
12	134	51698
13	143	51101
14	153	51145
15	163	50958
16	173	50762
17	182	50415
18	191	50150
19	200	49936
20	209	49723
21	219	49630
22	229	49564
23	237	49329
24	247	49229
25	257	49335
26	269	49603
27	280	49765
28	289	49638
29	299	49590
30	308	49504
31	318	49404
32	327	49267
33	347	50698
34	356	50556
35	366	50480
36	375	50379
37	385	50304
38	393	50104
39	403	50014
40	412	49926
41	423	49941
42	432	49838
43	441	49743
44	450	49622
45	459	49507
46	468	49420
47	478	49336
48	486	49200
49	495	49100
50	505	49067
51	514	48970
52	523	48864
53	532	48786
54	541	48699
55	550	48596
56	559	48514
57	568	48445
58	577	48341
59	586	48300
60	596	48263
61	605	48205
62	615	48227
63	624	48183
64	633	48091
65	641	47993
66	650	47927
67	659	47835
68	668	47747
69	677	47696
70	686	47644
71	695	47609
72	704	47578
73	714	47576
74	724	47583
75	734	47580
76	744	47578
77	754	47613
78	764	47633
79	775	47693
80	785	47708
81	796	47749
82	806	47794
83	816	47807
84	827	47857
85	838	47902
86	848	47936
87	858	47932
88	868	47928
89	879	47961
90	889	48003
91	900	48017
92	909	48001
93	918	47951
94	928	47924
95	937	47882
96	946	47823
97	955	47787
98	965	47806
99	975	47821
100	986	47859
101	997	47885
102	1007	47918
103	1019	47997
104	1030	48034
105	1040	48043
106	1050	48035
107	1061	48067
108	1070	48041
109	1080	48016
110	1090	48010
111	1100	48026
112	1111	48063
113	1122	48101
114	1132	48089
115	1141	48061
116	1151	48050
117	1160	48020
118	1169	47988
119	1179	47956
120	1189	47945
121	1198	47911
122	1207	47891
123	1217	47889
124	1227	47877
125	1236	47842
126	1246	47811
127	1255	47800
128	1265	47770
129	1275	47770
130	1284	47749
131	1294	47730
132	1305	47780
133	1315	47753
134	1324	47724
135	1333	47697
136	1342	47664
137	1351	47629
138	1361	47610
139	1370	47586
140	1380	47563
141	1389	47532
142	1399	47528
143	1408	47510
144	1417	47476
145	1427	47446
146	1436	47411
147	1444	47368
148	1453	47334
149	1463	47312
150	1472	47276
151	1481	47251
152	1491	47240
153	1501	47242
154	1511	47238
155	1520	47227
156	1530	47201
157	1539	47179
158	1548	47150
159	1558	47154
160	1568	47128
161	1577	47113
162	1586	47090
163	1597	47104
164	1608	47132
165	1618	47128
166	1628	47121
167	1636	47082
168	1645	47049
169	1655	47029
170	1664	47001
171	1673	46961
172	1682	46948
173	1691	46909
174	1700	46872
175	1709	46856
176	1718	46826
177	1728	46831
178	1738	46825
179	1749	46837
180	1759	46835
181	1768	46826
182	1779	46828
183	1789	46839
184	1799	46830
185	1809	46829
186	1818	46812
187	1828	46801
188	1838	46792
189	1848	46797
190	1858	46788
191	1867	46777
192	1877	46759
193	1886	46744
194	1896	46742
195	1906	46728
196	1916	46727
197	1926	46723
198	1936	46718
199	1946	46714
200	1956	46710
201	1966	46704
202	1977	46733
203	1990	46785
204	2000	46799
205	2010	46799
206	2020	46793
207	2030	46784
208	2040	46779
209	2050	46770
210	2059	46750
211	2069	46743
212	2079	46746
213	2090	46744
214	2099	46720
215	2109	46716
216	2119	46709
217	2128	46695
218	2138	46688
219	2149	46694
220	2159	46696
221	2169	46695
222	2179	46694
223	2189	46689
224	2200	46689
225	2209	46677
226	2218	46656
227	2228	46635
228	2244	46761
229	2255	46785
230	2266	46783
231	2276	46795
232	2287	46794
233	2297	46785
234	2307	46778
235	2317	46786
236	2328	46794
237	2339	46801
238	2348	46786
239	2358	46783
240	2369	46784
241	2378	46770
242	2389	46769
243	2399	46766
244	2409	46763
245	2419	46761
246	2429	46750
247	2438	46726
248	2448	46720
249	2458	46718
250	2468	46698
251	2477	46687
252	2487	46678
253	2497	46663
254	2506	46648
255	2516	46633
256	2526	46625
257	2536	46627
258	2546	46621
259	2557	46625
260	2580	46862
261	2590	46846
262	2599	46829
263	2609	46809
264	2618	46791
265	2628	46776
266	2637	46752
267	2647	46742
268	2656	46720
269	2665	46697
270	2674	46675
271	2684	46654
272	2693	46646
273	2703	46629
274	2712	46612
275	2722	46598
276	2731	46570
277	2740	46545
278	2749	46517
279	2758	46495
280	2767	46475
281	2776	46459
282	2786	46438
283	2794	46407
284	2803	46384
285	2813	46365
286	2821	46333
287	2830	46305
288	2839	46280
289	2847	46249
290	2856	46224
291	2865	46208
292	2874	46179
293	2883	46158
294	2893	46142
295	2902	46126
296	2911	46103
297	2920	46084
298	2930	46072
299	2939	46050
300	2948	46034
301	2958	46026
302	2968	46022
303	2978	46003
304	2988	45996
305	2998	45996
306	3007	45975
307	3016	45948
308	3025	45926
309	3034	45907
310	3044	45895
311	3053	45886
312	3063	45873
313	3072	45854
314	3081	45829
315	3090	45806
316	3099	45785
317	3108	45765
318	3117	45750
319	3127	45736
320	3136	45716
321	3146	45705
322	3155	45691
323	3164	45672
324	3173	45649
325	3182	45628
326	3192	45623
327	3201	45601
328	3211	45589
329	3230	45712
330	3239	45690
331	3248	45669
332	3257	45653
333	3266	45628
334	3275	45611
335	3284	45592
336	3293	45569
337	3302	45548
338	3311	45527
339	3320	45511
340	3329	45488
341	3338	45470
342	3347	45454
343	3356	45436
344	3367	45432
345	3376	45415
346	3385	45392
347	3393	45369
348	3402	45349
349	3411	45328
350	3421	45312
351	3430	45296
352	3439	45275
353	3447	45249
354	3456	45229
355	3465	45208
356	3474	45185
357	3483	45164
358	3492	45151
359	3501	45131
360	3511	45124
361	3520	45108
362	3529	45088
363	3539	45073
364	3547	45053
365	3556	45029
366	3565	45005
367	3574	44991
368	3583	44971
369	3591	44946
370	3600	44926
371	3609	44907
372	3618	44882
373	3627	44867
374	3636	44847
375	3645	44829
376	3654	44814
377	3671	44891
378	3680	44871
379	3689	44851
380	3697	44826
381	3706	44810
382	3716	44796
383	3725	44778
384	3734	44765
385	3744	44763
386	3754	44756
387	3763	44738
388	3773	44727
389	3797	44888
390	3807	44881
391	3817	44871
392	3827	44868
393	3837	44860
394	3846	44847
395	3855	44830
396	3865	44817
397	3874	44804
398	3883	44784
399	3892	44767
400	3902	44758
401	3912	44752
402	3922	44739
403	3931	44727
404	3941	44722
405	3951	44711
406	3960	44693
407	3969	44681
408	3979	44665
409	3988	44651
410	3997	44635
411	4006	44620
412	4016	44608
413	4025	44589
414	4035	44579
415	4044	44570
416	4054	44556
417	4063	44542
418	4073	44531
419	4083	44524
420	4092	44511
421	4102	44500
422	4111	44488
423	4120	44472
424	4129	44451
425	4138	44438
426	4147	44421
427	4156	44405
428	4165	44388
429	4175	44373
430	4183	44351
431	4192	44334
432	4202	44321
433	4210	44301
434	4219	44282
435	4228	44267
436	4238	44252
437	4246	44233
438	4256	44223
439	4266	44214
440	4275	44200
441	4284	44185
442	4294	44180
443	4304	44165
444	4312	44145
445	4321	44130
446	4330	44111
447	4339	44094
448	4348	44080
449	4358	44065
450	4367	44050
451	4376	44034
452	4385	44019
453	4394	43998
454	4403	43981
455	4412	43968
456	4421	43950
457	4429	43931
458	4439	43917
459	4447	43896
460	4456	43879
